timestamp,temperature,external_temperature
Sun Mar  4 14:00:03 2018,27.0,-0.5
Sun Mar  4 14:30:03 2018,27.0,0.0
Sun Mar  4 15:00:02 2018,26.937,0.0
Sun Mar  4 15:30:03 2018,26.812,0.0
Sun Mar  4 16:00:03 2018,26.812,0.5
Sun Mar  4 16:30:03 2018,26.812,0.5
Sun Mar  4 17:00:03 2018,26.875,0.5
Sun Mar  4 17:30:03 2018,26.812,-0.5
Sun Mar  4 18:00:02 2018,26.875,-0.5
Sun Mar  4 18:30:03 2018,27.062,-1.0
Sun Mar  4 19:00:03 2018,26.812,-1.0
Sun Mar  4 19:30:02 2018,25.937,-1.0
Sun Mar  4 20:00:02 2018,26.437,-1.0
Sun Mar  4 20:30:03 2018,26.312,-1.0
Sun Mar  4 21:00:03 2018,26.375,-1.0
Sun Mar  4 21:30:02 2018,26.5,-1.5
Sun Mar  4 22:00:03 2018,26.562,-1.5
Sun Mar  4 22:30:03 2018,26.875,-2.0
Sun Mar  4 23:00:03 2018,26.625,-2.0
Sun Mar  4 23:30:02 2018,26.375,-2.0
Mon Mar  5 00:00:03 2018,26.437,-2.0
Mon Mar  5 00:30:03 2018,26.375,-3.0
Mon Mar  5 01:00:03 2018,26.437,-3.0
Mon Mar  5 01:30:02 2018,26.437,-3.0
Mon Mar  5 02:00:02 2018,26.437,-3.0
Mon Mar  5 02:30:03 2018,26.375,-4.0
Mon Mar  5 03:00:03 2018,26.375,-4.0
Mon Mar  5 03:30:03 2018,26.375,-4.0
Mon Mar  5 04:00:03 2018,26.375,-4.0
Mon Mar  5 04:30:02 2018,26.375,-4.0
Mon Mar  5 05:00:03 2018,26.312,-4.0
Mon Mar  5 05:30:03 2018,26.375,-4.0
Mon Mar  5 06:00:02 2018,26.312,-4.0
Mon Mar  5 06:30:03 2018,26.312,-4.0
Mon Mar  5 07:00:03 2018,26.375,-4.0
Mon Mar  5 07:30:03 2018,26.375,-4.0
Mon Mar  5 08:00:03 2018,26.562,-4.0
Mon Mar  5 08:30:03 2018,26.312,-4.0
Mon Mar  5 09:00:03 2018,26.312,-4.0
Mon Mar  5 09:30:03 2018,26.5,-4.0
Mon Mar  5 10:00:03 2018,26.562,-4.0
Mon Mar  5 10:30:03 2018,26.437,-2.0
Mon Mar  5 11:00:03 2018,26.437,-2.0
Mon Mar  5 11:30:03 2018,26.437,-1.59
Mon Mar  5 12:00:03 2018,26.437,0.0
Mon Mar  5 12:30:02 2018,26.437,1.5
Mon Mar  5 13:00:03 2018,26.437,1.5
Mon Mar  5 13:30:02 2018,25.937,1.51
Mon Mar  5 14:00:02 2018,26.062,1.0
Mon Mar  5 14:30:03 2018,25.875,1.0
Mon Mar  5 15:00:03 2018,25.937,1.0
Mon Mar  5 15:30:02 2018,26.0,1.0
Mon Mar  5 16:00:03 2018,26.187,1.0
Mon Mar  5 16:30:03 2018,26.187,1.0
Mon Mar  5 17:00:03 2018,26.312,1.0
Mon Mar  5 17:30:02 2018,26.5,1.0
Mon Mar  5 18:00:02 2018,26.625,1.0
Mon Mar  5 18:30:03 2018,27.062,0.5
Mon Mar  5 19:00:03 2018,26.625,0.5
Mon Mar  5 19:30:03 2018,26.312,0.0
Mon Mar  5 20:00:03 2018,26.312,0.0
Mon Mar  5 20:30:02 2018,26.5,0.0
Mon Mar  5 21:00:02 2018,26.75,0.0
Mon Mar  5 21:30:03 2018,26.312,-1.0
Mon Mar  5 22:00:03 2018,26.312,-1.0
Mon Mar  5 22:30:03 2018,26.437,-1.0
Mon Mar  5 23:00:02 2018,26.562,-1.0
Mon Mar  5 23:30:02 2018,26.437,-1.0
Tue Mar  6 00:00:03 2018,26.437,-1.0
Tue Mar  6 00:30:03 2018,26.562,-1.0
Tue Mar  6 01:00:03 2018,26.562,-1.0
Tue Mar  6 01:30:03 2018,26.625,-1.0
Tue Mar  6 02:00:03 2018,26.687,-1.0
Tue Mar  6 02:30:02 2018,26.687,-1.0
Tue Mar  6 03:00:03 2018,26.687,-1.0
Tue Mar  6 03:30:03 2018,26.75,-1.0
Tue Mar  6 04:00:02 2018,26.625,-1.0
Tue Mar  6 04:30:03 2018,26.75,-1.0
Tue Mar  6 05:00:03 2018,26.75,-1.0
Tue Mar  6 05:30:03 2018,26.812,-1.0
Tue Mar  6 06:00:03 2018,26.75,-1.0
Tue Mar  6 06:30:02 2018,26.875,-1.0
Tue Mar  6 07:00:02 2018,26.812,-1.0
Tue Mar  6 07:30:03 2018,26.875,-1.5
Tue Mar  6 08:00:02 2018,27.125,-1.5
Tue Mar  6 08:30:03 2018,26.875,-1.0
Tue Mar  6 09:00:03 2018,26.812,-1.0
Tue Mar  6 09:30:02 2018,26.937,-0.5
